distance,fraction_intensity,n,norm_intensity,fraction_mode,type
40,0.00104255856991981,72928,1.42957241377772e-08,1.53192578051777e-05,af488
41,0.001665688931985,59168,2.81518545833051e-08,3.01674482453031e-05,af488
42,0.000690515575563392,49536,1.39396716643127e-08,1.49377129753666e-05,af488
43,0.00074414973710454,48160,1.54516141425361e-08,1.65579062854276e-05,af488
44,9.47149081265391e-05,39904,2.37356926941006e-09,2.54351015772984e-06,af488
45,4.05921034828025e-05,37152,1.09259537798241e-09,1.17082213609786e-06,af488
46,1.35307011609342e-05,30272,4.46970836447349e-10,4.78972692040035e-07,af488
47,0,26144,0,0,af488
48,0,28896,0,0,af488
49,0,19264,0,0,af488
50,0,17888,0,0,af488
51,0,15136,0,0,af488
52,0,8256,0,0,af488
53,0,12384,0,0,af488
54,0,4128,0,0,af488
55,0,4128,0,0,af488
